Module URL,Start New Sequence?,Start New Atom?,Learning Objective Description,Concepts,Type,Title,Atom Type,Quiz?,Atom Header,Atom Body,Choice A,Choice B,Choice C,Choice D,Choice E,Choice F,Choice G,Correct Answer,Learnosity JSON,General Explanation,Author,Source URL,License
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a monomial function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(- 2x^{-7/9}\right)$_. ,,,,,,,,\frac{d}{dx}\left(- 2x^{-7/9}\right)=\frac{14}{9}x^{-16/9} ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": ""\\frac{d}{dx}\\left(- 2x^{-7/9}\\right)={{response}}"", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": ""\\frac{d}{dx}\\left(- 2x^{-7/9}\\right)=\\frac{14}{9}x^{-16/9} "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, and $_n$_ is a non-zero real number, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>In this problem we are given $_f(x) = - 2x^{-7/9}$_. We can use the constant rule to take the constant, $_-2$_ outside of the derivative to find$$\begin{align}\frac{d}{dx} f(x) &= \frac{d}{dx} \left(- 2x^{-7/9}\right) \\[5pt]&= -2 \cdot \frac{d}{dx} \left(x^{ -7/9 }\right).\end{align}$$ </p><p>Using the power rule to differentiate $_x^{ -7/9 } $_ we have$$\begin{align}\frac{d}{dx} f(x) &= -2 \cdot \frac{d}{dx} \left(x^{ -7/9 }\right) \\[5pt]&= -2\left(- \frac{7}{9}x^{ -7/9 - 1 }\right) \\[5pt]&= \frac{14}{9}x^{-16/9}.\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a monomial function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(- 3x^{-7/4}\right)$_. ,,,,,,,,\frac{d}{dx}\left(- 3x^{-7/4}\right)=\frac{21}{4}x^{-11/4} ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": ""\\frac{d}{dx}\\left(- 3x^{-7/4}\\right)={{response}}"", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": ""\\frac{d}{dx}\\left(- 3x^{-7/4}\\right)=\\frac{21}{4}x^{-11/4} "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, and $_n$_ is a non-zero real number, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>In this problem we are given $_f(x) = - 3x^{-7/4}$_. We can use the constant rule to take the constant, $_-3$_ outside of the derivative to find$$\begin{align}\frac{d}{dx} f(x) &= \frac{d}{dx} \left(- 3x^{-7/4}\right) \\[5pt]&= -3 \cdot \frac{d}{dx} \left(x^{ -7/4 }\right).\end{align}$$ </p><p>Using the power rule to differentiate $_x^{ -7/4 } $_ we have$$\begin{align}\frac{d}{dx} f(x) &= -3 \cdot \frac{d}{dx} \left(x^{ -7/4 }\right) \\[5pt]&= -3\left(- \frac{7}{4}x^{ -7/4 - 1 }\right) \\[5pt]&= \frac{21}{4}x^{-11/4}.\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a monomial function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(2x^{7/5}\right)$_. ,,,,,,,,\frac{d}{dx}\left(2x^{7/5}\right)=\frac{14}{5}x^{2/5} ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": ""\\frac{d}{dx}\\left(2x^{7/5}\\right)={{response}}"", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": ""\\frac{d}{dx}\\left(2x^{7/5}\\right)=\\frac{14}{5}x^{2/5} "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, and $_n$_ is a non-zero real number, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>In this problem we are given $_f(x) = 2x^{7/5}$_. We can use the constant rule to take the constant, $_2$_ outside of the derivative to find$$\begin{align}\frac{d}{dx} f(x) &= \frac{d}{dx} \left(2x^{7/5}\right) \\[5pt]&= 2 \cdot \frac{d}{dx} \left(x^{ 7/5 }\right).\end{align}$$ </p><p>Using the power rule to differentiate $_x^{ 7/5 } $_ we have$$\begin{align}\frac{d}{dx} f(x) &= 2 \cdot \frac{d}{dx} \left(x^{ 7/5 }\right) \\[5pt]&= 2\left(\frac{7}{5}x^{ 7/5 - 1 }\right) \\[5pt]&= \frac{14}{5}x^{2/5}.\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a monomial function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(- 5x^{-9/2}\right)$_. ,,,,,,,,\frac{d}{dx}\left(- 5x^{-9/2}\right)=\frac{45}{2}x^{-11/2} ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": ""\\frac{d}{dx}\\left(- 5x^{-9/2}\\right)={{response}}"", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": ""\\frac{d}{dx}\\left(- 5x^{-9/2}\\right)=\\frac{45}{2}x^{-11/2} "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, and $_n$_ is a non-zero real number, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>In this problem we are given $_f(x) = - 5x^{-9/2}$_. We can use the constant rule to take the constant, $_-5$_ outside of the derivative to find$$\begin{align}\frac{d}{dx} f(x) &= \frac{d}{dx} \left(- 5x^{-9/2}\right) \\[5pt]&= -5 \cdot \frac{d}{dx} \left(x^{ -9/2 }\right).\end{align}$$ </p><p>Using the power rule to differentiate $_x^{ -9/2 } $_ we have$$\begin{align}\frac{d}{dx} f(x) &= -5 \cdot \frac{d}{dx} \left(x^{ -9/2 }\right) \\[5pt]&= -5\left(- \frac{9}{2}x^{ -9/2 - 1 }\right) \\[5pt]&= \frac{45}{2}x^{-11/2}.\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a monomial function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(6x^{1/8}\right)$_. ,,,,,,,,\frac{d}{dx}\left(6x^{1/8}\right)=\frac{3}{4}x^{-7/8} ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": ""\\frac{d}{dx}\\left(6x^{1/8}\\right)={{response}}"", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": ""\\frac{d}{dx}\\left(6x^{1/8}\\right)=\\frac{3}{4}x^{-7/8} "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, and $_n$_ is a non-zero real number, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>In this problem we are given $_f(x) = 6x^{1/8}$_. We can use the constant rule to take the constant, $_6$_ outside of the derivative to find$$\begin{align}\frac{d}{dx} f(x) &= \frac{d}{dx} \left(6x^{1/8}\right) \\[5pt]&= 6 \cdot \frac{d}{dx} \left(x^{ 1/8 }\right).\end{align}$$ </p><p>Using the power rule to differentiate $_x^{ 1/8 } $_ we have$$\begin{align}\frac{d}{dx} f(x) &= 6 \cdot \frac{d}{dx} \left(x^{ 1/8 }\right) \\[5pt]&= 6\left(\frac{1}{8}x^{ 1/8 - 1 }\right) \\[5pt]&= \frac{3}{4}x^{-7/8}.\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a monomial function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(2x^{3/4}\right)$_. ,,,,,,,,\frac{d}{dx}\left(2x^{3/4}\right)=\frac{3}{2}x^{-1/4} ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": ""\\frac{d}{dx}\\left(2x^{3/4}\\right)={{response}}"", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": ""\\frac{d}{dx}\\left(2x^{3/4}\\right)=\\frac{3}{2}x^{-1/4} "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, and $_n$_ is a non-zero real number, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>In this problem we are given $_f(x) = 2x^{3/4}$_. We can use the constant rule to take the constant, $_2$_ outside of the derivative to find$$\begin{align}\frac{d}{dx} f(x) &= \frac{d}{dx} \left(2x^{3/4}\right) \\[5pt]&= 2 \cdot \frac{d}{dx} \left(x^{ 3/4 }\right).\end{align}$$ </p><p>Using the power rule to differentiate $_x^{ 3/4 } $_ we have$$\begin{align}\frac{d}{dx} f(x) &= 2 \cdot \frac{d}{dx} \left(x^{ 3/4 }\right) \\[5pt]&= 2\left(\frac{3}{4}x^{ 3/4 - 1 }\right) \\[5pt]&= \frac{3}{2}x^{-1/4}.\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a monomial function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(7x^{7/2}\right)$_. ,,,,,,,,\frac{d}{dx}\left(7x^{7/2}\right)=\frac{49}{2}x^{5/2} ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": ""\\frac{d}{dx}\\left(7x^{7/2}\\right)={{response}}"", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": ""\\frac{d}{dx}\\left(7x^{7/2}\\right)=\\frac{49}{2}x^{5/2} "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, and $_n$_ is a non-zero real number, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>In this problem we are given $_f(x) = 7x^{7/2}$_. We can use the constant rule to take the constant, $_7$_ outside of the derivative to find$$\begin{align}\frac{d}{dx} f(x) &= \frac{d}{dx} \left(7x^{7/2}\right) \\[5pt]&= 7 \cdot \frac{d}{dx} \left(x^{ 7/2 }\right).\end{align}$$ </p><p>Using the power rule to differentiate $_x^{ 7/2 } $_ we have$$\begin{align}\frac{d}{dx} f(x) &= 7 \cdot \frac{d}{dx} \left(x^{ 7/2 }\right) \\[5pt]&= 7\left(\frac{7}{2}x^{ 7/2 - 1 }\right) \\[5pt]&= \frac{49}{2}x^{5/2}.\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a monomial function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(4x^{2/3}\right)$_. ,,,,,,,,\frac{d}{dx}\left(4x^{2/3}\right)=\frac{8}{3}x^{-1/3} ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": ""\\frac{d}{dx}\\left(4x^{2/3}\\right)={{response}}"", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": ""\\frac{d}{dx}\\left(4x^{2/3}\\right)=\\frac{8}{3}x^{-1/3} "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, and $_n$_ is a non-zero real number, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>In this problem we are given $_f(x) = 4x^{2/3}$_. We can use the constant rule to take the constant, $_4$_ outside of the derivative to find$$\begin{align}\frac{d}{dx} f(x) &= \frac{d}{dx} \left(4x^{2/3}\right) \\[5pt]&= 4 \cdot \frac{d}{dx} \left(x^{ 2/3 }\right).\end{align}$$ </p><p>Using the power rule to differentiate $_x^{ 2/3 } $_ we have$$\begin{align}\frac{d}{dx} f(x) &= 4 \cdot \frac{d}{dx} \left(x^{ 2/3 }\right) \\[5pt]&= 4\left(\frac{2}{3}x^{ 2/3 - 1 }\right) \\[5pt]&= \frac{8}{3}x^{-1/3}.\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a monomial function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(5x^{1/8}\right)$_. ,,,,,,,,\frac{d}{dx}\left(5x^{1/8}\right)=\frac{5}{8}x^{-7/8} ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": ""\\frac{d}{dx}\\left(5x^{1/8}\\right)={{response}}"", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": ""\\frac{d}{dx}\\left(5x^{1/8}\\right)=\\frac{5}{8}x^{-7/8} "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, and $_n$_ is a non-zero real number, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>In this problem we are given $_f(x) = 5x^{1/8}$_. We can use the constant rule to take the constant, $_5$_ outside of the derivative to find$$\begin{align}\frac{d}{dx} f(x) &= \frac{d}{dx} \left(5x^{1/8}\right) \\[5pt]&= 5 \cdot \frac{d}{dx} \left(x^{ 1/8 }\right).\end{align}$$ </p><p>Using the power rule to differentiate $_x^{ 1/8 } $_ we have$$\begin{align}\frac{d}{dx} f(x) &= 5 \cdot \frac{d}{dx} \left(x^{ 1/8 }\right) \\[5pt]&= 5\left(\frac{1}{8}x^{ 1/8 - 1 }\right) \\[5pt]&= \frac{5}{8}x^{-7/8}.\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
,Y,Y,Extend the power rule to functions with rational exponents,Find the derivative of a monomial function with negative exponents,LEA,Extend the power rule to functions with rational exponents,AB,,,Find $_\displaystyle \frac{d}{dx} \left(9x^{9/5}\right)$_. ,,,,,,,,\frac{d}{dx}\left(9x^{9/5}\right)=\frac{81}{5}x^{4/5} ,"{""type"": ""formulaV2"", ""is_math"": true, ""ui_style"": {""type"": ""block-on-focus-keyboard""}, ""template"": ""\\frac{d}{dx}\\left(9x^{9/5}\\right)={{response}}"", ""response_containers"": [], ""symbols"": [""basic"", ""qwerty""], ""validation"": {""scoring_type"": ""exactMatch"", ""valid_response"": {""score"": 1, ""value"": [{""method"": ""equivSymbolic"", ""value"": ""\\frac{d}{dx}\\left(9x^{9/5}\\right)=\\frac{81}{5}x^{4/5} "", ""options"": {""ignoreText"": true, ""decimalPlaces"": 10}}]}, ""alt_responses"": []}}","<p>To solve this problem, you will need to recall:<ul><li>The <b>extended power rule</b> for derivatives states that if $_f(x) = x^n$_, and $_n$_ is a non-zero real number, then$$\frac{d}{dx}f(x)= n x^{n-1}.$$</li><li>The <b>constant multiple rule</b> for derivatives states that the derivative of a constant times a function is equal to the constant times the derivative of the function. In math notation this means that if $_g(x) = cf(x)$_, where $_c$_ is a constant, then$$\frac{d}{dx}\left(g(x)\right) = c \frac{d}{dx}\left( f(x) \right).$$</li></ul></p><p>In this problem we are given $_f(x) = 9x^{9/5}$_. We can use the constant rule to take the constant, $_9$_ outside of the derivative to find$$\begin{align}\frac{d}{dx} f(x) &= \frac{d}{dx} \left(9x^{9/5}\right) \\[5pt]&= 9 \cdot \frac{d}{dx} \left(x^{ 9/5 }\right).\end{align}$$ </p><p>Using the power rule to differentiate $_x^{ 9/5 } $_ we have$$\begin{align}\frac{d}{dx} f(x) &= 9 \cdot \frac{d}{dx} \left(x^{ 9/5 }\right) \\[5pt]&= 9\left(\frac{9}{5}x^{ 9/5 - 1 }\right) \\[5pt]&= \frac{81}{5}x^{4/5}.\end{align}$$</p>",Knewton,http://www.knewton.com,CC_BY_NC_ND
